序号,IP,端口,位置,运营商,时间,sucess
105,120.79.34.201,1337,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.79.34.201:1337
106,114.106.137.91,8089,安徽省池州市,电信,2024/01/05 16:45:02,114.106.137.91:8089
107,113.223.213.87,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.87:8089
108,117.57.92.191,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.191:8089
109,114.102.45.39,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.45.39:8089
110,221.230.216.74,7788,江苏省泰州市,电信,2024/01/05 16:45:02,221.230.216.74:7788
111,114.102.45.129,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.45.129:8089
112,117.69.232.184,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.184:8089
113,60.174.1.41,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.1.41:8089
114,120.55.73.174,80,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.55.73.174:80
115,101.37.81.112,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,101.37.81.112:80
116,123.182.59.9,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.59.9:8089
117,117.93.180.215,9000,江苏省盐城市,电信,2024/01/05 16:45:02,117.93.180.215:9000
118,113.223.215.116,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.116:8089
119,117.71.149.37,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.71.149.37:8089
120,61.160.202.106,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.106:80
121,221.130.192.241,80,上海市,怒江移动IDC机房,2024/01/05 16:45:02,221.130.192.241:80
122,36.6.145.190,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.190:8089
123,118.178.234.140,80,浙江省杭州市,阿里云计算有限公司,2024/01/05 16:45:02,118.178.234.140:80
124,117.69.233.40,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.40:8089
125,61.160.202.79,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.79:80
126,117.57.93.213,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.93.213:8089
127,111.225.153.52,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.153.52:8089
128,114.102.46.62,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.62:8089
129,36.6.144.227,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.227:8089
130,123.169.35.17,9999,山东省烟台市,电信,2024/01/05 16:45:02,123.169.35.17:9999
131,223.215.177.195,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.177.195:8089
132,36.6.144.209,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.209:8089
133,117.70.49.128,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.70.49.128:8089
134,117.57.92.208,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.208:8089
135,114.231.42.49,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.49:8089
136,36.6.145.182,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.182:8089
137,120.194.4.157,5443,河南省郑州市,移动,2024/01/05 16:45:02,120.194.4.157:5443
138,117.69.233.201,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.201:8089
139,183.164.243.150,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.150:8089
140,118.163.13.200,8080,台湾省,中华电信(HiNet)数据中心,2024/01/05 16:45:02,118.163.13.200:8080
141,101.37.23.70,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,101.37.23.70:80
142,114.102.47.191,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.47.191:8089
143,114.102.46.162,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.162:8089
144,118.31.1.154,80,北京市,好维高科通讯有限公司,2024/01/05 16:45:02,118.31.1.154:80
145,183.164.242.115,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.115:8089
146,120.26.195.85,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心(BGP),2024/01/05 16:45:02,120.26.195.85:80
147,114.103.81.215,8089,安徽省滁州市,电信,2024/01/05 16:45:02,114.103.81.215:8089
148,111.225.152.222,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.152.222:8089
149,125.87.83.59,8089,重庆市,电信,2024/01/05 16:45:02,125.87.83.59:8089
150,117.69.236.232,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.232:8089
151,42.63.65.19,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.19:80
152,117.69.237.146,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.146:8089
153,139.196.214.238,2087,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,139.196.214.238:2087
154,117.69.236.101,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.101:8089
155,36.6.145.151,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.151:8089
156,115.29.151.41,8889,山东省青岛市,阿里云BGP数据中心,2024/01/05 16:45:02,115.29.151.41:8889
157,114.232.109.144,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.144:8089
158,61.160.202.68,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.68:80
159,114.232.110.153,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.153:8888
160,42.63.65.96,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.96:80
161,39.173.102.114,80,浙江省,移动,2024/01/05 16:45:02,39.173.102.114:80
162,113.223.213.23,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.23:8089
163,117.69.233.224,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.224:8089
164,183.164.242.161,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.161:8089
165,114.231.45.200,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.200:8089
166,223.111.245.248,80,江苏省,移动,2024/01/05 16:45:02,223.111.245.248:80
167,111.225.153.98,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.153.98:8089
168,117.69.237.124,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.124:8089
169,111.225.152.240,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.152.240:8089
170,111.59.4.88,9002,广西柳州市,移动,2024/01/05 16:45:02,111.59.4.88:9002
171,114.231.42.156,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.156:8888
172,114.232.110.163,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.163:8089
173,124.71.157.181,10443,北京市,中电华通,2024/01/05 16:45:02,124.71.157.181:10443
174,124.70.205.56,999,北京市,中电华通,2024/01/05 16:45:02,124.70.205.56:999
175,123.57.1.16,111,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,123.57.1.16:111
176,117.57.92.215,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.215:8089
177,60.12.168.114,9002,浙江省台州市,联通,2024/01/05 16:45:02,60.12.168.114:9002
178,114.232.110.80,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.80:8888
179,36.6.145.124,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.124:8089
180,47.96.143.117,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.96.143.117:80
181,47.96.141.161,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.96.141.161:80
182,222.74.73.202,42055,内蒙古赤峰市,电信,2024/01/05 16:45:02,222.74.73.202:42055
183,114.231.8.150,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.150:8888
184,114.106.137.38,8089,安徽省池州市,电信,2024/01/05 16:45:02,114.106.137.38:8089
185,114.231.42.248,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.248:8089
186,183.164.242.169,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.169:8089
187,113.223.215.153,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.153:8089
188,124.223.186.186,80,江苏省南京市,邦联宽带,2024/01/05 16:45:02,124.223.186.186:80
189,42.63.65.70,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.70:80
190,183.164.242.5,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.5:8089
191,114.231.46.37,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.37:8089
192,121.40.170.78,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.40.170.78:80
193,218.23.15.154,9002,安徽省宿州市,电信,2024/01/05 16:45:02,218.23.15.154:9002
194,36.6.144.95,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.95:8089
195,223.113.80.158,9091,中国,移动,2024/01/05 16:45:02,223.113.80.158:9091
196,159.226.227.103,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.103:80
197,36.6.144.192,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.192:8089
198,124.70.221.252,10443,北京市,中电华通,2024/01/05 16:45:02,124.70.221.252:10443
199,221.194.147.237,80,河北省廊坊市,联通,2024/01/05 16:45:02,221.194.147.237:80
200,123.182.58.53,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.58.53:8089
201,223.247.47.69,8089,安徽省池州市,电信,2024/01/05 16:45:02,223.247.47.69:8089
202,183.164.242.211,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.211:8089
203,113.223.212.139,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.212.139:8089
204,113.223.213.80,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.80:8089
205,112.17.16.237,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.237:80
206,112.243.228.40,9000,山东省潍坊市,联通,2024/01/05 16:45:02,112.243.228.40:9000
207,123.182.59.227,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.59.227:8089
208,114.102.45.224,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.45.224:8089
209,114.102.44.76,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.76:8089
210,113.223.212.82,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.212.82:8089
211,42.193.179.113,8118,上海市,有孚计算机网络有限公司,2024/01/05 16:45:02,42.193.179.113:8118
212,112.17.16.215,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.215:80
